network_id,architecture,depth,width,layer_structure,r_all,p_all,r_skip,p_skip,accuracy,L1,L2,L3,L4,L5,L6,L7,L8,L9,L10,L11,L12
28,flat,5,32,32→32→32→32→32,-0.915977794172175,,-0.9510146462355484,,0.6754999756813049,0.25015178322792053,0.12729127705097198,0.12054569274187088,-0.4724190831184387,,,,,,,,
29,flat,5,64,64→64→64→64→64,-0.36066888899127136,,0.3905853872447919,,0.7145000100135803,0.2642841935157776,-0.37442344427108765,-0.10127034038305283,-0.4873782992362976,,,,,,,,
30,flat,6,128,128→128→128→128→128→128,-0.8047846132314638,,-0.7388673152600259,,0.5674999952316284,-0.05417505279183388,-0.08266951888799667,-0.38342323899269104,-0.09538304805755615,-0.04450734704732895,,,,,,,
31,flat,6,16,16→16→16→16→16→16,-0.33298529229424706,,-0.20851402540821082,,0.5684999823570251,-0.25044286251068115,0.21949687600135803,-0.4160926043987274,-0.11062831431627274,-0.2780440151691437,,,,,,,
32,flat,6,32,32→32→32→32→32→32,-0.2562391068121107,,-0.2290816968701991,,0.6620000004768372,0.15412448346614838,0.22156214714050293,0.15580125153064728,-0.2796766459941864,-0.18782411515712738,,,,,,,
33,flat,6,64,64→64→64→64→64→64,-0.7544098385894006,,-0.727225806814821,,0.7325000166893005,-0.21863378584384918,-0.033983148634433746,-0.15671876072883606,-0.448322057723999,-0.13377712666988373,,,,,,,
34,flat,7,128,128→128→128→128→128→128→128,-0.5739572738399029,,-0.5217623096472903,,0.8970000147819519,-0.1450592577457428,0.12437023222446442,-0.29457226395606995,-0.41043999791145325,-0.16827553510665894,0.020632673054933548,,,,,,
35,flat,7,16,16→16→16→16→16→16→16,-0.7420415072805842,,-0.8454549388876054,,0.7204999923706055,-0.10384904593229294,0.0858149453997612,-0.08064667880535126,-0.44033586978912354,-0.3728456199169159,-0.2673393785953522,,,,,,
36,flat,7,32,32→32→32→32→32→32→32,-0.7112640209248556,,-0.8722739327023361,,0.6980000138282776,0.053934428840875626,0.1298847645521164,-0.10858172923326492,-0.2494174689054489,-0.44700607657432556,-0.02212522365152836,,,,,,
37,flat,7,64,64→64→64→64→64→64→64,-0.6337191974395702,,-0.18570026580355323,,0.7894999980926514,-0.0555046983063221,-0.13658128678798676,-0.3350454568862915,-0.4828917384147644,-0.4608811140060425,-0.29466235637664795,,,,,,
38,flat,8,128,128→128→128→128→128→128→128→128,-0.3669129015734085,,-0.3649509894994201,,0.7354999780654907,0.04310955852270126,-0.039858609437942505,-0.17994898557662964,-0.32458287477493286,-0.23121942579746246,-0.2600935995578766,-0.24670881032943726,,,,,
39,flat,8,16,16→16→16→16→16→16→16→16,-0.7725782367597069,,-0.8132927745766194,,0.7615000009536743,-0.1111009418964386,-0.2050953209400177,-0.39928820729255676,0.03161349520087242,-0.3054746985435486,0.02259254828095436,0.02780192159116268,,,,,
40,flat,8,32,32→32→32→32→32→32→32→32,0.03355697696546141,,0.4216841898155976,,0.6790000200271606,0.30391302704811096,0.3130664825439453,0.1627335399389267,0.03160881996154785,-0.16876570880413055,-0.18906497955322266,-0.3701027035713196,,,,,
41,flat,8,64,64→64→64→64→64→64→64→64,-0.6231544779644487,,-0.5449202313438953,,0.9244999885559082,-0.09035208076238632,-0.06506948173046112,-0.26794537901878357,-0.3069556653499603,-0.2733060419559479,0.01798071898519993,-0.12333405017852783,,,,,
42,flat,9,128,128→128→128→128→128→128→128→128→128,-0.698547611791964,,-0.7660657226473415,,0.9229999780654907,-0.34664851427078247,-0.14092214405536652,-0.37087342143058777,-0.2000342160463333,0.05243702232837677,-0.04723924398422241,,,,,,
43,flat,9,16,16→16→16→16→16→16→16→16→16,-0.6324306078654672,,-0.6385641372944592,,0.7085000276565552,0.285002201795578,0.23596559464931488,0.2646259665489197,0.3187105357646942,0.28542959690093994,0.3276793658733368,0.11169026046991348,-0.07407272607088089,,,,
44,flat,9,32,32→32→32→32→32→32→32→32→32,-0.6380255784497746,,-0.5635434063014563,,0.9225000143051147,0.1063503623008728,-0.17525199055671692,0.04199114441871643,-0.029772166162729263,-0.21714988350868225,0.09950662404298782,0.15542863309383392,0.13539886474609375,,,,
45,flat,9,64,64→64→64→64→64→64→64→64→64,-0.597443653246562,,-0.6315816340883651,,0.6570000052452087,-0.049206171184778214,-0.3047724962234497,-0.24907109141349792,-0.18106035888195038,-0.15487083792686462,0.1471380889415741,0.2004348635673523,0.05246170237660408,,,,
