run_name,architecture,dataset,n_layers,accuracy,rho,k
wide_5_mnist_1_vs_7,wide,mnist_1_vs_7,5,0.9894999861717224,-765136993.6666666,500
wide_5_mnist_1_vs_7,wide,mnist_1_vs_7,5,0.9884999990463257,-832127636.0,500
wide_5_mnist_1_vs_7,wide,mnist_1_vs_7,5,0.9904999732971191,-795808151.6666666,500
wide_5_mnist_1_vs_7,wide,mnist_1_vs_7,5,0.9904999732971191,-787552061.0,500
wide_5_mnist_1_vs_7,wide,mnist_1_vs_7,5,0.9894999861717224,-830379665.0,500
wide_5_mnist_1_vs_7,wide,mnist_1_vs_7,5,0.9909999966621399,-763428200.0,500
wide_5_mnist_1_vs_7,wide,mnist_1_vs_7,5,0.9909999966621399,-783438324.6666666,500
wide_5_mnist_1_vs_7,wide,mnist_1_vs_7,5,0.987500011920929,-789091560.0,500
wide_5_mnist_1_vs_7,wide,mnist_1_vs_7,5,0.9900000095367432,-784965759.3333334,500
wide_5_mnist_1_vs_7,wide,mnist_1_vs_7,5,0.9900000095367432,-787551789.3333334,500
wide_5_mnist_1_vs_7,wide,mnist_1_vs_7,5,0.9919999837875366,-794326686.3333334,500
wide_5_mnist_1_vs_7,wide,mnist_1_vs_7,5,0.9879999756813049,-806618070.0,500
wide_5_mnist_1_vs_7,wide,mnist_1_vs_7,5,0.9890000224113464,-787866543.6666666,500
wide_5_mnist_1_vs_7,wide,mnist_1_vs_7,5,0.9909999966621399,-824860179.3333334,500
wide_5_mnist_1_vs_7,wide,mnist_1_vs_7,5,0.9854999780654907,-807897656.6666666,500
wide_5_mnist_1_vs_7,wide,mnist_1_vs_7,5,0.9894999861717224,-811256527.0,500
wide_5_mnist_1_vs_7,wide,mnist_1_vs_7,5,0.9909999966621399,-837962145.6666666,500
wide_5_mnist_1_vs_7,wide,mnist_1_vs_7,5,0.9890000224113464,-832297905.3333334,500
wide_5_mnist_1_vs_7,wide,mnist_1_vs_7,5,0.9884999990463257,-780621548.0,500
wide_5_mnist_1_vs_7,wide,mnist_1_vs_7,5,0.9900000095367432,-789289487.3333334,500
wide_5_mnist_1_vs_7,wide,mnist_1_vs_7,5,0.9900000095367432,-814191859.6666666,500
wide_5_mnist_1_vs_7,wide,mnist_1_vs_7,5,0.9884999990463257,-790297189.3333334,500
wide_5_mnist_1_vs_7,wide,mnist_1_vs_7,5,0.9884999990463257,-802458326.0,500
wide_5_mnist_1_vs_7,wide,mnist_1_vs_7,5,0.9894999861717224,-828178958.3333334,500
wide_5_mnist_1_vs_7,wide,mnist_1_vs_7,5,0.9900000095367432,-779924049.3333334,500
wide_5_mnist_1_vs_7,wide,mnist_1_vs_7,5,0.9884999990463257,-823026998.3333334,500
wide_5_mnist_1_vs_7,wide,mnist_1_vs_7,5,0.9915000200271606,-797974180.3333334,500
wide_5_mnist_1_vs_7,wide,mnist_1_vs_7,5,0.9925000071525574,-784024881.0,500
wide_5_mnist_1_vs_7,wide,mnist_1_vs_7,5,0.9884999990463257,-798300068.0,500
wide_5_mnist_1_vs_7,wide,mnist_1_vs_7,5,0.9894999861717224,-804426498.6666666,500
wide_5_mnist_1_vs_7,wide,mnist_1_vs_7,5,0.9884999990463257,-769213582.3333334,500
wide_5_mnist_1_vs_7,wide,mnist_1_vs_7,5,0.9890000224113464,-787812908.0,500
wide_5_mnist_1_vs_7,wide,mnist_1_vs_7,5,0.984499990940094,-816842857.0,500
wide_5_mnist_1_vs_7,wide,mnist_1_vs_7,5,0.987500011920929,-801411070.3333334,500
wide_5_mnist_1_vs_7,wide,mnist_1_vs_7,5,0.9909999966621399,-809335411.6666666,500
wide_5_mnist_1_vs_7,wide,mnist_1_vs_7,5,0.9904999732971191,-775709051.3333334,500
wide_5_mnist_1_vs_7,wide,mnist_1_vs_7,5,0.9890000224113464,-809943978.3333334,500
wide_5_mnist_1_vs_7,wide,mnist_1_vs_7,5,0.9904999732971191,-811101791.6666666,500
wide_5_mnist_1_vs_7,wide,mnist_1_vs_7,5,0.9890000224113464,-799837807.6666666,500
wide_5_mnist_1_vs_7,wide,mnist_1_vs_7,5,0.987500011920929,-804974677.3333334,500
wide_5_mnist_1_vs_7,wide,mnist_1_vs_7,5,0.9890000224113464,-808213928.0,500
wide_5_mnist_1_vs_7,wide,mnist_1_vs_7,5,0.9890000224113464,-790579221.3333334,500
wide_5_mnist_1_vs_7,wide,mnist_1_vs_7,5,0.9854999780654907,-798367325.6666666,500
wide_5_mnist_1_vs_7,wide,mnist_1_vs_7,5,0.9904999732971191,-811314822.0,500
wide_5_mnist_1_vs_7,wide,mnist_1_vs_7,5,0.9890000224113464,-804971791.6666666,500
wide_5_mnist_1_vs_7,wide,mnist_1_vs_7,5,0.9894999861717224,-815378025.0,500
bottleneck_5_fmnist_sandals_vs_boots,bottleneck,fmnist_sandals_vs_boots,5,0.9860000014305115,-821107597.6666666,500
bottleneck_5_fmnist_sandals_vs_boots,bottleneck,fmnist_sandals_vs_boots,5,0.9860000014305115,-820840240.0,500
bottleneck_5_fmnist_sandals_vs_boots,bottleneck,fmnist_sandals_vs_boots,5,0.9800000190734863,-803280230.0,500
bottleneck_5_fmnist_sandals_vs_boots,bottleneck,fmnist_sandals_vs_boots,5,0.9829999804496765,-809931619.3333334,500
bottleneck_5_fmnist_sandals_vs_boots,bottleneck,fmnist_sandals_vs_boots,5,0.9854999780654907,-791264357.6666666,500
bottleneck_5_fmnist_sandals_vs_boots,bottleneck,fmnist_sandals_vs_boots,5,0.984499990940094,-812554319.0,500
bottleneck_5_fmnist_sandals_vs_boots,bottleneck,fmnist_sandals_vs_boots,5,0.984499990940094,-804706996.0,500
bottleneck_5_fmnist_sandals_vs_boots,bottleneck,fmnist_sandals_vs_boots,5,0.984000027179718,-808478618.6666666,500
bottleneck_5_fmnist_sandals_vs_boots,bottleneck,fmnist_sandals_vs_boots,5,0.9835000038146973,-791821658.6666666,500
bottleneck_5_fmnist_sandals_vs_boots,bottleneck,fmnist_sandals_vs_boots,5,0.9819999933242798,-809587416.6666666,500
bottleneck_5_fmnist_sandals_vs_boots,bottleneck,fmnist_sandals_vs_boots,5,0.9850000143051147,-787736870.0,500
bottleneck_5_fmnist_sandals_vs_boots,bottleneck,fmnist_sandals_vs_boots,5,0.9850000143051147,-788857219.6666666,500
bottleneck_5_fmnist_sandals_vs_boots,bottleneck,fmnist_sandals_vs_boots,5,0.9815000295639038,-799241546.0,500
bottleneck_5_fmnist_sandals_vs_boots,bottleneck,fmnist_sandals_vs_boots,5,0.9835000038146973,-806891893.0,500
bottleneck_5_fmnist_sandals_vs_boots,bottleneck,fmnist_sandals_vs_boots,5,0.9869999885559082,-784156187.3333334,500
bottleneck_5_fmnist_sandals_vs_boots,bottleneck,fmnist_sandals_vs_boots,5,0.9829999804496765,-782408037.3333334,500
bottleneck_5_fmnist_sandals_vs_boots,bottleneck,fmnist_sandals_vs_boots,5,0.984000027179718,-795811037.0,500
bottleneck_5_fmnist_sandals_vs_boots,bottleneck,fmnist_sandals_vs_boots,5,0.9879999756813049,-807781465.3333334,500
bottleneck_5_fmnist_sandals_vs_boots,bottleneck,fmnist_sandals_vs_boots,5,0.9850000143051147,-803959115.6666666,500
bottleneck_5_fmnist_sandals_vs_boots,bottleneck,fmnist_sandals_vs_boots,5,0.984499990940094,-805988818.6666666,500
bottleneck_5_fmnist_sandals_vs_boots,bottleneck,fmnist_sandals_vs_boots,5,0.9860000014305115,-798813585.0,500
bottleneck_5_fmnist_sandals_vs_boots,bottleneck,fmnist_sandals_vs_boots,5,0.9850000143051147,-816353079.3333334,500
bottleneck_5_fmnist_sandals_vs_boots,bottleneck,fmnist_sandals_vs_boots,5,0.9879999756813049,-807792658.6666666,500
bottleneck_5_fmnist_sandals_vs_boots,bottleneck,fmnist_sandals_vs_boots,5,0.9854999780654907,-806108762.0,500
bottleneck_5_fmnist_sandals_vs_boots,bottleneck,fmnist_sandals_vs_boots,5,0.987500011920929,-802797095.3333334,500
bottleneck_5_fmnist_sandals_vs_boots,bottleneck,fmnist_sandals_vs_boots,5,0.9754999876022339,-793471695.3333334,500
bottleneck_5_fmnist_sandals_vs_boots,bottleneck,fmnist_sandals_vs_boots,5,0.9850000143051147,-797846229.6666666,500
bottleneck_5_fmnist_sandals_vs_boots,bottleneck,fmnist_sandals_vs_boots,5,0.9825000166893005,-795628946.0,500
bottleneck_5_fmnist_sandals_vs_boots,bottleneck,fmnist_sandals_vs_boots,5,0.9810000061988831,-797666797.0,500
bottleneck_5_fmnist_sandals_vs_boots,bottleneck,fmnist_sandals_vs_boots,5,0.9835000038146973,-787261038.0,500
bottleneck_5_fmnist_sandals_vs_boots,bottleneck,fmnist_sandals_vs_boots,5,0.9829999804496765,-816184955.0,500
bottleneck_5_fmnist_sandals_vs_boots,bottleneck,fmnist_sandals_vs_boots,5,0.9819999933242798,-802173986.6666666,500
bottleneck_5_fmnist_sandals_vs_boots,bottleneck,fmnist_sandals_vs_boots,5,0.9825000166893005,-801332916.0,500
bottleneck_5_fmnist_sandals_vs_boots,bottleneck,fmnist_sandals_vs_boots,5,0.9850000143051147,-826347951.6666666,500
bottleneck_5_fmnist_sandals_vs_boots,bottleneck,fmnist_sandals_vs_boots,5,0.9800000190734863,-812566798.6666666,500
bottleneck_5_fmnist_sandals_vs_boots,bottleneck,fmnist_sandals_vs_boots,5,0.9854999780654907,-785133479.6666666,500
bottleneck_5_fmnist_sandals_vs_boots,bottleneck,fmnist_sandals_vs_boots,5,0.9860000014305115,-801240818.6666666,500
bottleneck_5_fmnist_sandals_vs_boots,bottleneck,fmnist_sandals_vs_boots,5,0.9835000038146973,-805745268.6666666,500
bottleneck_5_fmnist_sandals_vs_boots,bottleneck,fmnist_sandals_vs_boots,5,0.984000027179718,-792786304.0,500
bottleneck_5_fmnist_sandals_vs_boots,bottleneck,fmnist_sandals_vs_boots,5,0.984000027179718,-819582451.0,500
bottleneck_5_fmnist_sandals_vs_boots,bottleneck,fmnist_sandals_vs_boots,5,0.987500011920929,-805919564.0,500
bottleneck_5_fmnist_sandals_vs_boots,bottleneck,fmnist_sandals_vs_boots,5,0.9810000061988831,-813511762.3333334,500
bottleneck_5_fmnist_sandals_vs_boots,bottleneck,fmnist_sandals_vs_boots,5,0.987500011920929,-818535044.3333334,500
