architecture,dataset,k,model_idx,accuracy,rho,dropout_rate,run_id
narrow_11,mnist_6_vs_8,400,62,0.9886128306388855,-475783503.5,,narrow_11_mnist_6_vs_8_k400_m62
narrow_11,mnist_6_vs_8,400,63,0.9860248565673828,-461458042.3333333,,narrow_11_mnist_6_vs_8_k400_m63
narrow_11,mnist_6_vs_8,400,64,0.9865424633026123,-474730609.5,,narrow_11_mnist_6_vs_8_k400_m64
narrow_11,mnist_6_vs_8,400,65,0.9896480441093445,-471731138.5,,narrow_11_mnist_6_vs_8_k400_m65
narrow_11,mnist_6_vs_8,400,66,0.9922360181808472,-482935430.5,,narrow_11_mnist_6_vs_8_k400_m66
narrow_11,mnist_6_vs_8,400,67,0.989130437374115,-476846528.1666667,,narrow_11_mnist_6_vs_8_k400_m67
narrow_11,mnist_6_vs_8,400,68,0.9886128306388855,-461872055.6666667,,narrow_11_mnist_6_vs_8_k400_m68
narrow_11,mnist_6_vs_8,400,69,0.9886128306388855,-468940763.8333333,,narrow_11_mnist_6_vs_8_k400_m69
narrow_11,mnist_6_vs_8,325,0,0.9886128306388855,-310924689.5,,narrow_11_mnist_6_vs_8_k325_m0
narrow_11,mnist_6_vs_8,325,1,0.9917184114456177,-303527642.1666667,,narrow_11_mnist_6_vs_8_k325_m1
narrow_11,mnist_6_vs_8,325,2,0.9875776171684265,-323332729.0,,narrow_11_mnist_6_vs_8_k325_m2
narrow_11,mnist_6_vs_8,325,3,0.9870600700378418,-322168914.0,,narrow_11_mnist_6_vs_8_k325_m3
narrow_11,mnist_6_vs_8,325,4,0.9875776171684265,-314264699.0,,narrow_11_mnist_6_vs_8_k325_m4
narrow_11,mnist_6_vs_8,325,5,0.9829192757606506,-314346117.3333333,,narrow_11_mnist_6_vs_8_k325_m5
narrow_11,mnist_6_vs_8,325,6,0.989130437374115,-309541122.1666667,,narrow_11_mnist_6_vs_8_k325_m6
narrow_11,mnist_6_vs_8,325,7,0.9870600700378418,-307037324.5,,narrow_11_mnist_6_vs_8_k325_m7
narrow_11,mnist_6_vs_8,325,8,0.9896480441093445,-314477050.1666667,,narrow_11_mnist_6_vs_8_k325_m8
narrow_11,mnist_6_vs_8,325,9,0.9912008047103882,-317196287.6666667,,narrow_11_mnist_6_vs_8_k325_m9
narrow_11,mnist_6_vs_8,325,10,0.989130437374115,-311269400.6666667,,narrow_11_mnist_6_vs_8_k325_m10
narrow_11,mnist_6_vs_8,325,11,0.990165650844574,-307396432.0,,narrow_11_mnist_6_vs_8_k325_m11
narrow_11,mnist_6_vs_8,325,12,0.9912008047103882,-318497450.0,,narrow_11_mnist_6_vs_8_k325_m12
narrow_11,mnist_6_vs_8,325,13,0.9870600700378418,-312445084.5,,narrow_11_mnist_6_vs_8_k325_m13
narrow_11,mnist_6_vs_8,325,14,0.9886128306388855,-307213500.6666667,,narrow_11_mnist_6_vs_8_k325_m14
narrow_11,mnist_6_vs_8,325,15,0.9896480441093445,-327767687.6666667,,narrow_11_mnist_6_vs_8_k325_m15
narrow_11,mnist_6_vs_8,325,16,0.9912008047103882,-311300190.8333333,,narrow_11_mnist_6_vs_8_k325_m16
narrow_11,mnist_6_vs_8,325,17,0.9875776171684265,-313889601.8333333,,narrow_11_mnist_6_vs_8_k325_m17
narrow_11,mnist_6_vs_8,325,18,0.989130437374115,-316833711.0,,narrow_11_mnist_6_vs_8_k325_m18
narrow_11,mnist_6_vs_8,325,19,0.990165650844574,-307393704.8333333,,narrow_11_mnist_6_vs_8_k325_m19
narrow_11,mnist_6_vs_8,325,20,0.989130437374115,-307403451.1666667,,narrow_11_mnist_6_vs_8_k325_m20
narrow_11,mnist_6_vs_8,325,21,0.9855072498321533,-315877171.1666667,,narrow_11_mnist_6_vs_8_k325_m21
narrow_11,mnist_6_vs_8,325,22,0.990165650844574,-320218381.0,,narrow_11_mnist_6_vs_8_k325_m22
narrow_11,mnist_6_vs_8,325,23,0.990165650844574,-311873537.8333333,,narrow_11_mnist_6_vs_8_k325_m23
narrow_11,mnist_6_vs_8,325,24,0.988095223903656,-309085707.8333333,,narrow_11_mnist_6_vs_8_k325_m24
