dataset,mode,width,depth,test_acc,best_k,rho,z,L,connected_all_layers,elapsed_s,run_id,error,session
mnist_1v7,real,wide,11,0.9949144721031189,200,-0.9902755083942495,-1.0862222957146004,10,True,42.7,mnist_1v7__w50__d11__s0,,20251007_220339
mnist_1v7,real,bottleneck,5,0.9930651783943176,350,-0.18927421621997004,-0.19158431093672462,4,True,22.9,mnist_1v7__bottleneck__d5__s0,,20251007_220339
mnist_1v7,real,bottleneck,11,0.9935275316238403,350,-0.3644062568316196,-0.15593350572756132,10,True,43.6,mnist_1v7__bottleneck__d11__s0,,20251007_220339
mnist_6v8,real,narrow,5,0.9932712316513062,200,-0.9908225043962099,-2.6897743968748005,4,True,21.4,mnist_6v8__w25__d5__s0,,20251007_220339
mnist_6v8,real,narrow,11,0.9927536249160767,150,-0.8546607921984094,-0.5197790131509882,10,True,41.3,mnist_6v8__w25__d11__s0,,20251007_220339
mnist_6v8,real,wide,5,0.9937888383865356,250,-0.9991432598674754,-3.8775473166631715,4,True,22.3,mnist_6v8__w50__d5__s0,,20251007_220339
mnist_6v8,real,wide,11,0.9906832575798035,350,-0.6134719889602639,-0.291681015637218,10,True,42.0,mnist_6v8__w50__d11__s0,,20251007_220339
mnist_6v8,real,bottleneck,5,0.9948239922523499,200,-0.9999966014307313,-6.642650749754657,4,True,22.8,mnist_6v8__bottleneck__d5__s0,,20251007_220339
mnist_6v8,real,bottleneck,11,0.9912008047103882,350,-0.8680853801197757,-0.5410339924949981,10,True,41.9,mnist_6v8__bottleneck__d11__s0,,20251007_220339
mnist_0v8,real,narrow,5,0.9933469891548157,250,-0.8395066543827189,-1.2195001053257737,4,True,21.5,mnist_0v8__w25__d5__s0,,20251007_220339
mnist_0v8,real,narrow,11,0.9948822855949402,350,-0.6211860380644554,-0.2967695757735043,10,True,40.6,mnist_0v8__w25__d11__s0,,20251007_220339
mnist_0v8,real,wide,5,0.9918116927146912,200,-0.9684298782399903,-2.066390164217558,4,True,22.1,mnist_0v8__w50__d5__s0,,20251007_220339
mnist_0v8,real,wide,11,0.9943705201148987,200,-0.8185544929850788,-0.4704738741760553,10,True,42.9,mnist_0v8__w50__d11__s0,,20251007_220339
mnist_0v8,real,bottleneck,5,0.9933469891548157,200,-0.8617103247449442,-1.2999501462237113,4,True,22.3,mnist_0v8__bottleneck__d5__s0,,20251007_220339
mnist_0v8,real,bottleneck,11,0.9928352236747742,350,-0.8090772262987679,-0.45901460927632387,10,True,42.1,mnist_0v8__bottleneck__d11__s0,,20251007_220339
mnist_2v7,real,narrow,5,0.9917475581169128,250,-0.9164722933625727,-1.5665315174934626,4,True,21.6,mnist_2v7__w25__d5__s0,,20251007_220339
mnist_2v7,real,narrow,11,0.9922330379486084,350,-0.5481975117393405,-0.25139960878483764,10,True,42.0,mnist_2v7__w25__d11__s0,,20251007_220339
mnist_2v7,real,wide,5,0.9893203973770142,200,-0.9940531550179559,-2.9075318919219804,4,True,22.6,mnist_2v7__w50__d5__s0,,20251007_220339
mnist_2v7,real,wide,11,0.9873786568641663,250,-0.9379131597459164,-0.7023570802983311,10,True,42.5,mnist_2v7__w50__d11__s0,,20251007_220339
mnist_2v7,real,bottleneck,5,0.9888349771499634,120,-0.9864497877676911,-2.493851044048504,4,True,22.4,mnist_2v7__bottleneck__d5__s0,,20251007_220339
mnist_2v7,real,bottleneck,11,0.9893203973770142,350,-0.6146949125986695,-0.2924825176630129,10,True,42.4,mnist_2v7__bottleneck__d11__s0,,20251007_220339
mnist_3v5,real,narrow,5,0.9884332418441772,250,-0.03475464652704702,-0.03476864988780276,4,True,21.5,mnist_3v5__w25__d5__s0,,20251007_220339
mnist_3v5,real,narrow,11,0.9842271208763123,200,-0.606085760778386,-0.2868805796804168,10,True,41.8,mnist_3v5__w25__d11__s0,,20251007_220339
mnist_3v5,real,wide,5,0.9858044385910034,250,0.49744231998539756,0.5459016961321481,4,True,22.5,mnist_3v5__w50__d5__s0,,20251007_220339
mnist_3v5,real,wide,11,0.9852786660194397,150,-0.6415109698254006,-0.31056965310226303,10,True,42.2,mnist_3v5__w50__d11__s0,,20251007_220339
mnist_3v5,real,bottleneck,5,0.9884332418441772,200,-0.24891275865304374,-0.25425342340264023,4,True,22.1,mnist_3v5__bottleneck__d5__s0,,20251007_220339
mnist_3v5,real,bottleneck,11,0.9868559241294861,350,-0.22441540061022058,-0.093203435457509,10,True,42.7,mnist_3v5__bottleneck__d11__s0,,20251007_220339
mnist_4v9,real,narrow,5,0.982923150062561,200,-0.06045995356907369,-0.06053378412396036,4,True,22.6,mnist_4v9__w25__d5__s0,,20251007_220339
mnist_4v9,real,narrow,11,0.9854344725608826,200,-0.2517068119727413,-0.10501543969132085,10,True,41.6,mnist_4v9__w25__d11__s0,,20251007_220339
mnist_4v9,real,wide,5,0.9884480237960815,150,-0.9961340250302937,-3.123376847564426,4,True,22.7,mnist_4v9__w50__d5__s0,,20251007_220339
mnist_4v9,real,wide,11,0.9874435067176819,350,-0.4164188785345947,-0.18099761053982902,10,True,42.7,mnist_4v9__w50__d11__s0,,20251007_220339
mnist_4v9,real,bottleneck,5,0.9869412183761597,150,-0.4830671315731771,-0.5269772953763998,4,True,22.4,mnist_4v9__bottleneck__d5__s0,,20251007_220339
mnist_4v9,real,bottleneck,11,0.98593670129776,200,-0.38195287118128923,-0.164256288365281,10,True,43.4,mnist_4v9__bottleneck__d11__s0,,20251007_220339
fmnist_sandal_v_boot,real,narrow,5,0.9869999885559082,350,-0.08735101614050148,-0.08757420740648131,4,True,21.6,fmnist_sandal_v_boot__w25__d5__s0,,20251007_220339
fmnist_sandal_v_boot,real,narrow,11,0.9829999804496765,350,-0.7522691638619832,-0.3993329792858655,10,True,41.3,fmnist_sandal_v_boot__w25__d11__s0,,20251007_220339
fmnist_sandal_v_boot,real,wide,5,0.9815000295639038,250,0.6836422921783314,0.835920598258709,4,True,22.3,fmnist_sandal_v_boot__w50__d5__s0,,20251007_220339
fmnist_sandal_v_boot,real,wide,11,0.984000027179718,350,-0.5083213114110722,-0.22880829961164337,10,True,42.7,fmnist_sandal_v_boot__w50__d11__s0,,20251007_220339
fmnist_sandal_v_boot,real,bottleneck,5,0.9810000061988831,250,-0.7025759632374433,-0.8723694009509899,4,True,23.3,fmnist_sandal_v_boot__bottleneck__d5__s0,,20251007_220339
fmnist_sandal_v_boot,real,bottleneck,11,0.9850000143051147,200,-0.83729588537256,-0.4948207776139374,10,True,43.5,fmnist_sandal_v_boot__bottleneck__d11__s0,,20251007_220339
fmnist_shirt_v_coat,real,narrow,5,0.8945000171661377,200,-0.6783206410347709,-0.8259968420992446,4,True,22.1,fmnist_shirt_v_coat__w25__d5__s0,,20251007_220339
fmnist_shirt_v_coat,real,narrow,11,0.9049999713897705,250,-0.27911405839187364,-0.11705336734486683,10,True,41.9,fmnist_shirt_v_coat__w25__d11__s0,,20251007_220339
fmnist_shirt_v_coat,real,wide,5,0.9054999947547913,50,-0.9976624476796071,-3.375314317422186,4,True,23.0,fmnist_shirt_v_coat__w50__d5__s0,,20251007_220339
fmnist_shirt_v_coat,real,wide,11,0.9070000052452087,200,-0.1965744399278819,-0.08130950232055811,10,True,43.1,fmnist_shirt_v_coat__w50__d11__s0,,20251007_220339
fmnist_shirt_v_coat,real,bottleneck,5,0.9035000205039978,150,-0.9459267537511729,-1.7915770415829244,4,True,23.0,fmnist_shirt_v_coat__bottleneck__d5__s0,,20251007_220339
fmnist_shirt_v_coat,real,bottleneck,11,0.8924999833106995,200,-0.19821753773045578,-0.0820074916493518,10,True,43.7,fmnist_shirt_v_coat__bottleneck__d11__s0,,20251007_220339
fmnist_tshirt_v_shirt,real,narrow,5,0.8460000157356262,350,-0.356542230360273,-0.3729189323157149,4,True,21.9,fmnist_tshirt_v_shirt__w25__d5__s0,,20251007_220339
fmnist_tshirt_v_shirt,real,narrow,11,0.8399999737739563,350,-0.2303182078460014,-0.09574462382728079,10,True,41.6,fmnist_tshirt_v_shirt__w25__d11__s0,,20251007_220339
fmnist_tshirt_v_shirt,real,wide,5,0.8445000052452087,350,-0.4691555007853069,-0.5089869461222762,4,True,23.1,fmnist_tshirt_v_shirt__w50__d5__s0,,20251007_220339
fmnist_tshirt_v_shirt,real,wide,11,0.8544999957084656,250,-0.30010493025717677,-0.1264079251932867,10,True,42.8,fmnist_tshirt_v_shirt__w50__d11__s0,,20251007_220339
fmnist_tshirt_v_shirt,real,bottleneck,5,0.8464999794960022,350,-0.9075774993925854,-1.513609464520062,4,True,22.6,fmnist_tshirt_v_shirt__bottleneck__d5__s0,,20251007_220339
fmnist_tshirt_v_shirt,real,bottleneck,11,0.8460000157356262,250,-0.017152444797523182,-0.00700314310950855,10,True,44.1,fmnist_tshirt_v_shirt__bottleneck__d11__s0,,20251007_220339
cifar10_cat_v_dog,real,narrow,5,0.6025000214576721,10,-0.9581457242685217,-1.9227796428243427,4,True,43.3,cifar10_cat_v_dog__w25__d5__s0,,20251007_220339
