run_name,architecture,depth,dataset,dataset_type,model_id,k,accuracy,rho,n_layers
narrow_11_mnist_6_vs_8,narrow,11,mnist_6_vs_8,mnist,25,325,0.9870600700378418,-318327306.90909094,11
narrow_11_mnist_6_vs_8,narrow,11,mnist_6_vs_8,mnist,26,325,0.9875776171684265,-304574397.6363636,11
narrow_11_mnist_6_vs_8,narrow,11,mnist_6_vs_8,mnist,27,325,0.9875776171684265,-316549486.90909094,11
narrow_11_mnist_6_vs_8,narrow,11,mnist_6_vs_8,mnist,28,325,0.988095223903656,-324271346.3636364,11
narrow_11_mnist_6_vs_8,narrow,11,mnist_6_vs_8,mnist,29,325,0.9865424633026123,-314749980.90909094,11
narrow_11_mnist_6_vs_8,narrow,11,mnist_6_vs_8,mnist,30,325,0.9870600700378418,-317101144.54545456,11
narrow_11_mnist_6_vs_8,narrow,11,mnist_6_vs_8,mnist,31,325,0.9834368824958801,-312583268.54545456,11
narrow_11_mnist_6_vs_8,narrow,11,mnist_6_vs_8,mnist,32,325,0.9886128306388855,-316617836.54545456,11
narrow_11_mnist_6_vs_8,narrow,11,mnist_6_vs_8,mnist,33,325,0.9855072498321533,-319217962.72727275,11
narrow_11_mnist_6_vs_8,narrow,11,mnist_6_vs_8,mnist,34,325,0.9896480441093445,-319661390.90909094,11
narrow_11_mnist_6_vs_8,narrow,11,mnist_6_vs_8,mnist,35,325,0.990165650844574,-320256260.54545456,11
narrow_11_mnist_6_vs_8,narrow,11,mnist_6_vs_8,mnist,36,325,0.9875776171684265,-317715166.1818182,11
narrow_11_mnist_6_vs_8,narrow,11,mnist_6_vs_8,mnist,37,325,0.9860248565673828,-310137242.0,11
narrow_11_mnist_6_vs_8,narrow,11,mnist_6_vs_8,mnist,38,325,0.988095223903656,-309728908.54545456,11
narrow_11_mnist_6_vs_8,narrow,11,mnist_6_vs_8,mnist,39,325,0.9896480441093445,-326597657.8181818,11
narrow_11_mnist_6_vs_8,narrow,11,mnist_6_vs_8,mnist,40,325,0.989130437374115,-312991773.8181818,11
narrow_11_mnist_6_vs_8,narrow,11,mnist_6_vs_8,mnist,41,325,0.9870600700378418,-314395714.3636364,11
narrow_11_mnist_6_vs_8,narrow,11,mnist_6_vs_8,mnist,42,325,0.989130437374115,-315141523.45454544,11
narrow_11_mnist_6_vs_8,narrow,11,mnist_6_vs_8,mnist,43,325,0.989130437374115,-313993231.6363636,11
narrow_11_mnist_6_vs_8,narrow,11,mnist_6_vs_8,mnist,44,325,0.989130437374115,-307348921.27272725,11
narrow_11_mnist_6_vs_8,narrow,11,mnist_6_vs_8,mnist,45,325,0.988095223903656,-315085935.09090906,11
