experiment,architecture,depth,width,is_bottleneck,dataset,dataset_type,k_value,model_id,accuracy,mean_forman_ricci,final_forman_ricci,mean_scalar_curvature,final_scalar_curvature,delta_forman,delta_scalar
narrow_11_mnist_6_vs_8,narrow,11,25,False,mnist_6_vs_8,mnist,400,65,0.9896480441093445,-474622488.0,-440780014.0,239808.36363636365,20644.0,87409006.0,-473161.0
narrow_11_mnist_6_vs_8,narrow,11,25,False,mnist_6_vs_8,mnist,400,66,0.9922360181808472,-485231029.6363636,-459888910.0,214658.81818181818,36452.0,68300110.0,-374997.0
narrow_11_mnist_6_vs_8,narrow,11,25,False,mnist_6_vs_8,mnist,400,67,0.989130437374115,-480084841.09090906,-442233362.0,236310.9090909091,36619.0,85955658.0,-500715.0
narrow_11_mnist_6_vs_8,narrow,11,25,False,mnist_6_vs_8,mnist,400,68,0.9886128306388855,-464259145.09090906,-435336014.0,241049.0,51660.0,92853006.0,-584014.0
narrow_11_mnist_6_vs_8,narrow,11,25,False,mnist_6_vs_8,mnist,400,69,0.9886128306388855,-471945993.8181818,-439172516.0,239756.0,139986.0,89016504.0,-385945.0
narrow_11_mnist_6_vs_8,narrow,11,25,False,mnist_6_vs_8,mnist,325,0,0.9886128306388855,-313553721.27272725,-282124634.0,341546.45454545453,40509.0,75916946.0,-486180.0
narrow_11_mnist_6_vs_8,narrow,11,25,False,mnist_6_vs_8,mnist,325,1,0.9917184114456177,-305409787.09090906,-281230946.0,338233.63636363635,1120.0,76810634.0,-763746.0
narrow_11_mnist_6_vs_8,narrow,11,25,False,mnist_6_vs_8,mnist,325,2,0.9875776171684265,-326802110.0,-284211004.0,338952.9090909091,17034.0,73830576.0,-476151.0
narrow_11_mnist_6_vs_8,narrow,11,25,False,mnist_6_vs_8,mnist,325,3,0.9870600700378418,-325050682.72727275,-294289380.0,317100.54545454547,187854.0,63752200.0,-454967.0
narrow_11_mnist_6_vs_8,narrow,11,25,False,mnist_6_vs_8,mnist,325,4,0.9875776171684265,-317213765.8181818,-281573348.0,340064.0909090909,37594.0,76468232.0,-585246.0
narrow_11_mnist_6_vs_8,narrow,11,25,False,mnist_6_vs_8,mnist,325,5,0.9829192757606506,-316603383.09090906,-290507198.0,328652.1818181818,119264.0,67534382.0,-555175.0
narrow_11_mnist_6_vs_8,narrow,11,25,False,mnist_6_vs_8,mnist,325,6,0.989130437374115,-311977026.54545456,-282132978.0,336276.45454545453,36655.0,75908602.0,-578590.0
narrow_11_mnist_6_vs_8,narrow,11,25,False,mnist_6_vs_8,mnist,325,7,0.9870600700378418,-309221404.0,-280576406.0,343426.9090909091,9435.0,77465174.0,-692951.0
narrow_11_mnist_6_vs_8,narrow,11,25,False,mnist_6_vs_8,mnist,325,8,0.9896480441093445,-316915012.3636364,-289925090.0,330974.63636363635,125071.0,68116490.0,-443976.0
narrow_11_mnist_6_vs_8,narrow,11,25,False,mnist_6_vs_8,mnist,325,9,0.9912008047103882,-319938058.3636364,-291754018.0,330662.8181818182,288316.0,66287562.0,-187196.0
narrow_11_mnist_6_vs_8,narrow,11,25,False,mnist_6_vs_8,mnist,325,10,0.989130437374115,-313685259.45454544,-281432140.0,335006.54545454547,-63797.0,76609440.0,-655562.0
narrow_11_mnist_6_vs_8,narrow,11,25,False,mnist_6_vs_8,mnist,325,11,0.990165650844574,-309337651.8181818,-287822582.0,334892.1818181818,123130.0,70218998.0,-503804.0
narrow_11_mnist_6_vs_8,narrow,11,25,False,mnist_6_vs_8,mnist,325,12,0.9912008047103882,-320652467.09090906,-294242286.0,327947.1818181818,69136.0,63799294.0,-439182.0
narrow_11_mnist_6_vs_8,narrow,11,25,False,mnist_6_vs_8,mnist,325,13,0.9870600700378418,-314843452.1818182,-286287456.0,334198.54545454547,49197.0,71754124.0,-475537.0
narrow_11_mnist_6_vs_8,narrow,11,25,False,mnist_6_vs_8,mnist,325,14,0.9886128306388855,-309760714.54545456,-278083058.0,346764.2727272727,82089.0,79958522.0,-520924.0
narrow_11_mnist_6_vs_8,narrow,11,25,False,mnist_6_vs_8,mnist,325,15,0.9896480441093445,-330113761.09090906,-302432376.0,258778.0,87250.0,55609204.0,-511728.0
narrow_11_mnist_6_vs_8,narrow,11,25,False,mnist_6_vs_8,mnist,325,16,0.9912008047103882,-313513613.8181818,-287640836.0,318317.63636363635,92654.0,70400744.0,-427769.0
narrow_11_mnist_6_vs_8,narrow,11,25,False,mnist_6_vs_8,mnist,325,17,0.9875776171684265,-316916589.45454544,-280331844.0,330824.1818181818,8139.0,77709736.0,-603568.0
narrow_11_mnist_6_vs_8,narrow,11,25,False,mnist_6_vs_8,mnist,325,18,0.989130437374115,-319028818.72727275,-294023028.0,315467.63636363635,46319.0,64018552.0,-440893.0
narrow_11_mnist_6_vs_8,narrow,11,25,False,mnist_6_vs_8,mnist,325,19,0.990165650844574,-309757555.09090906,-280021244.0,344959.2727272727,7454.0,78020336.0,-513431.0
narrow_11_mnist_6_vs_8,narrow,11,25,False,mnist_6_vs_8,mnist,325,20,0.989130437374115,-309314252.0,-287567254.0,337482.7272727273,117276.0,70474326.0,-421544.0
narrow_11_mnist_6_vs_8,narrow,11,25,False,mnist_6_vs_8,mnist,325,21,0.9855072498321533,-318522516.90909094,-290072366.0,318506.0909090909,234179.0,67969214.0,-409496.0
narrow_11_mnist_6_vs_8,narrow,11,25,False,mnist_6_vs_8,mnist,325,22,0.990165650844574,-321828963.27272725,-302101268.0,312722.8181818182,27210.0,55940312.0,-527543.0
narrow_11_mnist_6_vs_8,narrow,11,25,False,mnist_6_vs_8,mnist,325,23,0.990165650844574,-314309626.72727275,-287368894.0,309553.9090909091,-97988.0,70672686.0,-659179.0
narrow_11_mnist_6_vs_8,narrow,11,25,False,mnist_6_vs_8,mnist,325,24,0.988095223903656,-311536660.1818182,-283394544.0,340596.8181818182,118802.0,74647036.0,-417379.0
narrow_11_mnist_6_vs_8,narrow,11,25,False,mnist_6_vs_8,mnist,325,25,0.9870600700378418,-318327306.90909094,-286874466.0,333683.9090909091,217092.0,71167114.0,-450833.0
narrow_11_mnist_6_vs_8,narrow,11,25,False,mnist_6_vs_8,mnist,325,26,0.9875776171684265,-304574397.6363636,-280667058.0,343011.1818181818,-2721.0,77374522.0,-712127.0
narrow_11_mnist_6_vs_8,narrow,11,25,False,mnist_6_vs_8,mnist,325,27,0.9875776171684265,-316549486.90909094,-289374376.0,335056.45454545453,150499.0,68667204.0,-497796.0
narrow_11_mnist_6_vs_8,narrow,11,25,False,mnist_6_vs_8,mnist,325,28,0.988095223903656,-324271346.3636364,-287666568.0,316751.45454545453,49910.0,70375012.0,-426337.0
narrow_11_mnist_6_vs_8,narrow,11,25,False,mnist_6_vs_8,mnist,325,29,0.9865424633026123,-314749980.90909094,-288026710.0,337703.36363636365,6321.0,70014870.0,-653864.0
narrow_11_mnist_6_vs_8,narrow,11,25,False,mnist_6_vs_8,mnist,325,30,0.9870600700378418,-317101144.54545456,-285387540.0,336568.8181818182,73145.0,72654040.0,-437905.0
narrow_11_mnist_6_vs_8,narrow,11,25,False,mnist_6_vs_8,mnist,325,31,0.9834368824958801,-312583268.54545456,-279927444.0,334961.0909090909,-38238.0,78114136.0,-675492.0
narrow_11_mnist_6_vs_8,narrow,11,25,False,mnist_6_vs_8,mnist,325,32,0.9886128306388855,-316617836.54545456,-288733662.0,299028.45454545453,12973.0,69307918.0,-571509.0
narrow_11_mnist_6_vs_8,narrow,11,25,False,mnist_6_vs_8,mnist,325,33,0.9855072498321533,-319217962.72727275,-289491762.0,336598.54545454547,78228.0,68549818.0,-505986.0
narrow_11_mnist_6_vs_8,narrow,11,25,False,mnist_6_vs_8,mnist,325,34,0.9896480441093445,-319661390.90909094,-286614882.0,338419.7272727273,31720.0,71426698.0,-361767.0
narrow_11_mnist_6_vs_8,narrow,11,25,False,mnist_6_vs_8,mnist,325,35,0.990165650844574,-320256260.54545456,-284354364.0,330898.36363636365,-17332.0,73687216.0,-600311.0
narrow_11_mnist_6_vs_8,narrow,11,25,False,mnist_6_vs_8,mnist,325,36,0.9875776171684265,-317715166.1818182,-288657254.0,327370.0909090909,964.0,69384326.0,-547820.0
narrow_11_mnist_6_vs_8,narrow,11,25,False,mnist_6_vs_8,mnist,325,37,0.9860248565673828,-310137242.0,-282573218.0,341855.7272727273,55857.0,75468362.0,-529958.0
